price,bedroom,sqft,neighborhood,bathroom,amenity_count,cityID
3985,2,920.0,cole valley / ashbury hts,1,5,2
3961,1,745.0,SOMA / south beach,1,9,2
7435,3,1146.0,SOMA / south beach,2,9,2
2785,2,1000.0,alamo square / nopa,1.5,7,2
7250,3,1146.0,SOMA / south beach,2,9,2
2688,1,590.0,lower nob hill,1,3,2
4995,2,1130.0,SOMA / south beach,2,9,2
2160,1,650.0,alamo square / nopa,1,7,2
7250,3,1146.0,SOMA / south beach,2,9,2
5250,3,1700.0,richmond / seacliff,3,4,2
7435,3,1146.0,SOMA / south beach,2,9,2
2150,1,650.0,city of san francisco,1,5,2
2080,1,535.0,alamo square / nopa,1,3,2
2500,2,495.0,San Francisco,1,4,2
2500,1,495.0,San Francisco,1,4,2
4395,2,1200.0,noe valley,1,4,2
3475,2,1000.0,noe valley,1,5,2
1850,1,450.0,nob hill,1,4,2
2495,1,442.0,visitacion valley,1,5,2
3100,3,900.0,mission district,1,5,2
3375,1,1325.0,potrero hill,1,6,2
4250,3,1200.0,excelsior / outer mission,2,6,2
3850,1,856.0,SOMA / south beach,1,6,2
5995,2,1540.0,nob hill,2,5,2
7435,3,1146.0,SOMA / south beach,2,9,2
8990,4,2600.0,west portal / forest hill,3,3,2
2795,1,750.0,marina / cow hollow,1,7,2
1850,1,400.0,marina / cow hollow,1,7,2
3900,2,1254.0,SOMA / south beach,1.5,6,2
3980,2,1000.0,inner richmond,1,3,2
2720,1,556.0,lower nob hill,1,3,2
3600,2,850.0,San Francisco,1,7,2
3600,2,1100.0,richmond / seacliff,1,4,2
3600,2,1100.0,richmond / seacliff,1,4,2
3600,2,1100.0,richmond / seacliff,1,4,2
5200,2,1200.0,north beach / telegraph hill,2,5,2
870,2,1030.0,SF bay area,1,5,2
3100,2,800.0,russian hill,1,4,2
3000,2,800.0,inner richmond,1.5,5,2
3436,1,596.0,SOMA / south beach,1,9,2
3800,3,955.0,excelsior / outer mission,1,7,2
3950,3,1300.0,excelsior / outer mission,2,5,2
9500,1,2300.0,SOMA / south beach,2.5,7,2
3800,2,1200.0,USF / panhandle,1,4,2
3809,1,805.0,hayes valley,1,5,2
2600,1,400.0,cole valley / ashbury hts,1,7,2
2230,1,650.0,alamo square / nopa,1,7,2
2800,1,455.0,nob hill,1,5,2
4100,2,788.0,nob hill,2,5,2
3800,2,759.0,mission district,1,5,2
2100,1,700.0,russian hill,1,3,2
7250,3,1146.0,SOMA / south beach,2,9,2
3195,1,627.0,lower nob hill,1,5,2
3000,1,800.0,potrero hill,1,3,2
4200,2,948.0,SOMA / south beach,2,8,2
2732,2,1151.0,bayview,2,8,2
3500,1,813.0,lower pac hts,1,7,2
2942,1,587.0,lower nob hill,1,3,2
3751,1,670.0,lower nob hill,1,3,2
3950,2,700.0,pacific heights,1,5,2
1650,1,280.0,sunset / parkside,1,4,2
3979,1,969.0,lower nob hill,1,3,2
5650,3,1396.0,lower haight,2,0,2
3351,1,582.0,lower nob hill,1,3,2
4301,2,792.0,SOMA / south beach,1,9,2
5927,2,1196.0,SOMA / south beach,2,9,2
2798,1,590.0,lower nob hill,1,3,2
3750,2,1023.0,inner richmond,1,6,2
3713,2,1042.0,SOMA / south beach,2,9,2
2500,2,860.0,sunset / parkside,1,3,2
2500,2,860.0,sunset / parkside,1,3,2
4200,1,607.0,financial district,1,5,2
2500,2,860.0,sunset / parkside,1,3,2
2850,2,860.0,richmond / seacliff,1,3,2
3320,2,940.0,inner sunset / UCSF,1,3,2
